Coaster_Name,Length,Speed,Location,Status,Manufacturer,Height_Restriction,Year_Introduced,latitude,longitude,Type_Main,Opening_Date,speed_mph,height_ft,Inversions,Gforce
Switchback Railway,600 ft (180 m),6 mph (9.7 km/h),Coney Island,Removed,LaMarcus Adna Thompson,0,1884,40.574,-73.978,Wood,1884-06-16,6.0,,0,2.9
Flip Flap Railway,,,Sea Lion Park,Removed,Lina Beecher,0,1895,40.578,-73.979,Wood,1895-01-01,,,1,12.0
Switchback Railway (Euclid Beach Park),,,"Cleveland, Ohio, United States",Closed,,0,1896,41.58,-81.57,Other,,,,0,
Loop the Loop (Coney Island),,,Other,Removed,Edwin Prescott,0,1901,40.5745,-73.978,Steel,1901-01-01,,,1,
Loop the Loop (Young's Pier),,,Other,Removed,Edwin Prescott,0,1901,39.3538,-74.4342,Steel,1901-01-01,,,1,
Cannon Coaster,,,Coney Island,Removed,George Francis Meyer,0,1902,40.575,-73.98,Wood,1902-01-01,,,0,
Leap-The-Dips,"1,452 ft (443 m)",10 mph (16 km/h),Lakemont Park,Operating,Federal Construction Company,0,1902,,,Wood,1902-01-01,10.0,,0,
Figure Eight (Euclid Beach Park),,,"Cleveland, Ohio, United States",Closed,,0,1904,41.58,-81.57,Other,,,,0,
Drop the Dip,,,Coney Island,Removed,Arthur Jarvis,0,1907,40.5744,-73.9786,Other,1907-06-06,,,0,
Scenic Railway (Euclid Beach Park),,,"Cleveland, Ohio, United States",Closed,,0,1907,41.58,-81.57,Other,,,,0,
Loop the Loop (Olentangy Park),,,Olentangy Park,Removed,Lina Beecher,0,1908,40.0204,-83.0143,Steel,1908-01-01,,,1,
Aero Dips,,,"Cleveland, Ohio, United States",Closed,,0,1909,41.58,-81.57,Other,,,,0,
Backety-Back Scenic Railway,,10 mph (16 km/h),Crystal Beach,Removed,,0,1909,42.8675,-79.0592,Wood,1909-01-01,10.0,,0,
Racer (1910 roller coaster),"4,500 ft (1,400 m)",40 mph (64 km/h),Kennywood,Operating,Charlie Mach,117,1910,40.3869,-79.8619,Wood,1927-01-01,40.0,,0,
Derby Racer,,,Revere Beach,Removed,Fred W. Pearce,0,1911,42.42,-70.986,Wood,1911-01-01,,,0,
The Great Scenic Railway,"967 m (3,173 ft)",60 km/h (37 mph),Luna Park Melbourne,Operating,LaMarcus Thompson,100,1912,,,Wood,1912-12-01,37.3,52.5,0,
Zippin Pippin,"2,865 ft (873 m)",40 mph (64 km/h),Other,,The Gravity Group,122,1912,,,Wood,,40.0,,0,
Racing Coaster,,,"Cleveland, Ohio, United States",Closed,,0,1913,41.58,-81.57,Other,,,,0,
Whirl Pool Dips,,,Tolchester Beach Park,Removed,,0,1913,39.214,-76.231,Wood,1913-01-01,,,0,
Green Dragon (Lake Compounce),,,Lake Compounce,Removed,,0,1914,41.642,-72.923,Wood,1914-01-01,,,0,
The Wild One (roller coaster),"4,000 ft (1,200 m)",53 mph (85 km/h),Six Flags America,,Dinn Corporation,122,1917,38.9092,-76.7725,Wood,,53.0,,0,
Jack Rabbit (Clementon Park),"1,380 ft (420 m)",,Clementon Park,Removed,Philadelphia Toboggan Coasters,0,1919,39.8041,-74.9844,Wood,1919-01-01,,,0,
Jack Rabbit (Kennywood),"2,132 ft (650 m)",45 mph (72 km/h),Kennywood,Operating,Harry C. Baker,107,1920,40.3867,-79.8628,Wood,1920-01-01,45.0,,0,
Jack Rabbit (Seabreeze),"2,130 ft (650 m)",42 mph (68 km/h),Seabreeze Amusement Park,Operating,Harry C. Baker,122,1920,43.2316,-77.5432,Wood,1920-01-01,42.0,,0,
Scenic Railway (roller coaster),"3,000 ft (910 m)",35 mph (56 km/h),Dreamland Margate,Operating,,0,1920,51.3853,1.3775,Wood,1920-07-03,35.0,,0,
Roller Coaster (Lagoon),"762 m (2,500 ft)",45 mph (72 km/h),Lagoon Amusement Park,Operating,,117,1921,40.9849,-111.8951,Wood,1921-07-15,45.0,62.0,0,
Big Dipper (Blackpool Pleasure Beach),"3,300 ft (1,000 m)",40 mph (64 km/h),Blackpool Pleasure Beach,Operating,William Strickler,117,1923,53.7892,-3.0569,Wood,1923-08-23,40.0,,0,3.7
Wild Cat (Hersheypark),"2,331 ft (710 m)",,Hersheypark,Removed,Philadelphia Toboggan Coasters,0,1923,40.2882,-76.6535,Wood,1923-06-16,,,0,
The Bobs (roller coaster),"3,235 ft (986 m)",50 mph (80 km/h),Riverview Park,Removed,Prior and Church,0,1924,41.9407,-87.6924,Wood,1924-01-01,50.0,,0,
Giant Dipper,"2,640 ft (800 m)",55 mph (89 km/h),Santa Cruz Beach Boardwalk,Operating,Arthur Looff,127,1924,36.9647,-122.0153,Wood,1924-05-17,55.0,,0,
Pippin (roller coaster),"3,250 ft (990 m)",55 mph (89 km/h),Kennywood,Operating,,132,1924,40.3889,-79.865,Wood,1968-01-01,55.0,,0,
The Thriller (roller coaster),,,"Cleveland, Ohio, United States",Closed,,0,1924,41.58,-81.57,Other,,,,0,
Thunderhawk (Dorney Park),"2,767 ft (843 m)",45 mph (72 km/h),Dorney Park & Wildwater Kingdom,Operating,Philadelphia Toboggan Coasters,122,1924,40.5798,-75.5355,Wood,1924-03-30,45.0,,0,
Big Dipper (Geauga Lake),"2,680 ft (820 m)",32 mph (51 km/h),Geauga Lake,Removed,,122,1925,41.3491,-81.378,Wood,1925-01-01,32.0,,0,
Cyclone (Revere Beach),"3,600 ft (1,100 m)",45 mph (72 km/h),Revere Beach,Removed,Traver Engineering,0,1925,42.42,-70.986,Wood,1925-01-01,45.0,,0,
Giant Dipper (Belmont Park),"2,600 ft (790 m)",48 mph (77 km/h),Other,Operating,"Frank Prior, Fredrick Church",127,1925,,,Wood,1925-07-04,48.0,,0,
Jazz Railway,"1,200 ft (370 m)",,Rocky Glen Park,Removed,Traver Engineering,0,1925,41.3533,-75.7059,Wood,1925-01-01,,,0,
Thunderbolt (1925 roller coaster),,,Coney Island,Removed,,0,1925,40.5739,-73.9825,Wood,1925-01-01,,,0,
Thunderbolt (Savin Rock),"5,000 ft (1,500 m)",,Savin Rock,Removed,Traver Engineering,0,1925,41.257,-72.95,Wood,1925-05-05,,,0,
Crystal Beach Cyclone,"2,953 ft (900 m)",60 mph (97 km/h),Crystal Beach Park,Removed,Traver Engineering,0,1926,42.8617,-79.0598,Wood,1926-01-01,60.0,,0,4.0
Sesquicentennial Cyclone,"2,000 ft (610 m)",,Sesquicentennial Exposition,Removed,Traver Engineering,0,1926,39.9087,-75.1733,Wood,1926-05-31,,,0,
Tornado (Coney Island),"2,970 ft (910 m)",,Coney Island,Removed,,0,1926,40.574,-73.979,Wood,1926-01-01,,,0,
Coney Island Cyclone,"2,640 ft (800 m)",60 mph (97 km/h),"Luna Park, Coney Island",Operating,,137,1927,40.5742,-73.9778,Other,1927-06-26,60.0,,0,3.75
Cyclone (Palisades Amusement Park),,,Palisades Amusement Park,Removed,Traver Engineering,0,1927,40.8281,-73.9778,Wood,1927-09-10,,,0,
Lightning (Revere Beach),,,Revere Beach,Removed,Traver Engineering,0,1927,42.42,-70.986,Wood,1927-07-02,,,0,
Racer (Kennywood),"4,500 ft (1,400 m)",40 mph (64 km/h),Kennywood,Operating,Charlie Mach,117,1927,40.3869,-79.8619,Wood,1927-01-01,40.0,,0,
Wildcat (Lake Compounce),"2,746 ft (837 m)",48 mph (77 km/h),Lake Compounce,Operating,Philadelphia Toboggan Coasters,122,1927,41.6408,-72.9231,Wood,1927-01-01,48.0,,0,
Zip (roller coaster),"2,500 ft (760 m)",,Oaks Amusement Park,Removed,Traver Engineering,0,1927,45.473,-122.6606,Wood,1927-01-01,,,0,
Airplane Coaster,"3,500 ft (1,100 m)",40 mph (64 km/h),Playland,Removed,Frank W. Darling,0,1928,40.9658,-73.6739,Wood,1928-05-26,40.0,,0,
Montaña Suiza,"1,312.3 ft (400.0 m)",31 mph (50 km/h),Monte Igueldo Amusement Park,Operating,,0,1928,43.3207,-2.0107,Other,1928-01-01,31.0,,0,
Dragon Coaster (Playland),"1,036 m (3,399 ft)",,Playland,Operating,,122,1929,40.9675,-73.6739,Wood,1929-01-01,,78.7,0,
Flying Turns (Euclid Beach Park),,,"Cleveland, Ohio, United States",Closed,,0,1930,41.58,-81.57,Other,,,,0,
Yankee Cannonball,"609.6 m (2,000 ft)",56.3 km/h (35.0 mph),Canobie Lake Park,Operating,Philadelphia Toboggan Coasters,0,1930,42.7953,-71.2492,Wood,1930-01-01,35.0,65.0,0,
Roller Coaster (Great Yarmouth Pleasure Beach),"3,223.10 ft (982.40 m)",45 mph (72 km/h),Great Yarmouth Pleasure Beach,Operating,,0,1932,52.5928,1.7361,Wood,1932-05-01,45.0,,0,
Nickelodeon Streak,"2,293 ft (699 m)",35 mph (56 km/h),Blackpool Pleasure Beach,Operating,,117,1933,53.7908,-3.0544,Wood,1933-01-01,35.0,,0,3.0
Zipper Dipper,,,Blackpool Pleasure Beach,Operating,,0,1934,53.7902,-3.0539,Other,1934-01-01,,,0,
Big Dipper (Luna Park Sydney),"2,623 ft (799 m)",58 mph (93 km/h),Other,,,0,1935,,,Wood,,58.0,,0,
Grand National (roller coaster),"3,302 ft (1,006 m)",40 mph (64 km/h),Blackpool Pleasure Beach,Closed,,117,1935,53.7919,-3.0531,Wood,1935-01-01,40.0,,0,3.2
Blue Streak (Conneaut Lake),"2,900 ft (880 m)",50 mph (80 km/h),Conneaut Lake Park,Closed,,0,1937,41.6349,-80.318,Wood,1938-05-23,50.0,,0,
Rollo Coaster,900 ft (270 m),25 mph (40 km/h),Idlewild and Soak Zone,Operating,Philadelphia Toboggan Coasters,107,1938,40.2602,-79.2814,Wood,1938-01-01,25.0,,0,
Cyclone (Lakeside Amusement Park),"2,800 ft (850 m)",55 mph (89 km/h),Lakeside Amusement Park,Operating,,122,1940,39.7808,-105.054,Wood,1940-05-17,55.0,,0,
Flyer Comet (Whalom Park),"2,640 ft (800 m)",40 mph (64 km/h),Whalom Park,Removed,National Amusement Devices,0,1940,42.5762,-71.746,Wood,1940-01-01,40.0,,0,
Giant Skyrocket,"6,600 ft (2,000 m)",,Other,,Lake Contrary Amusement Park,0,1941,,,Wood,,,,0,
Thunderbolt (Six Flags New England),"2,600 ft (790 m)",40 mph (64 km/h),Six Flags New England,Operating,Joseph E. Drambour,122,1941,42.0389,-72.6133,Wood,1941-01-01,40.0,,0,
Comet (Hersheypark),"3,360 ft (1,020 m)",50 mph (80 km/h),Hersheypark,Operating,Philadelphia Toboggan Coasters,107,1946,40.2864,-76.6556,Wood,1946-01-01,50.0,,0,
Comet (Lincoln Park),"3,000 ft (910 m)",55 mph (89 km/h),Lincoln Park,Removed,National Amusement Devices,0,1946,41.6362,-71.0432,Wood,1946-10-01,55.0,,0,
Little Dipper (Conneaut Lake Park),,,Conneaut Lake Park,Operating,Allan Herschell Company,0,1950,41.6343,-80.3165,Steel,1950-01-01,,,0,
Little Dipper (Six Flags Great America),700 ft (210 m),25 mph (40 km/h),Other,,Philadelphia Toboggan Coasters,0,1950,,,Wood,,25.0,,0,
Big Dipper (Battersea Park),"1,200 m (3,900 ft)",,Battersea Park,Removed,,0,1951,51.4794,-0.1569,Wood,1951-01-01,,49.2,0,
Comet (Waldameer),"1,300 ft (400 m)",25 mph (40 km/h),Waldameer Park,Operating,Philadelphia Toboggan Coasters,117,1951,42.1077,-80.1568,Wood,1951-01-01,25.0,,0,
Vuoristorata,"960 m (3,150 ft)",60 km/h (37 mph),Linnanmäki,Operating,"Linnanmäki, led by Svend Jarlström",140,1951,60.1886,24.9417,Wood,1951-07-13,37.3,78.7,0,
Little Dipper (Memphis Kiddie Park),,,Memphis Kiddie Park,Operating,Allan Herschell Company,0,1952,41.4405,-81.7577,Steel,1952-04-01,,,0,
High Speed Thrill Coaster,200 ft (61 m),,Knoebels Amusement Resort,Removed,,107,1955,40.8801,-76.5027,Steel,1955-01-01,,,0,
Sea Dragon (roller coaster),"1,320 ft (400 m)",25 mph (40 km/h),Rides At Adventure Cove,Operating,Philadelphia Toboggan Coasters,107,1956,40.1544,-83.1203,Wood,1956-01-01,25.0,,0,
Big Dipper (Camden Park),,,Camden Park,Operating,National Amusement Devices,0,1958,,,Other,1958-01-01,,,0,
Wild Mouse (Blackpool Pleasure Beach),"1,266 ft (386 m)",35 mph (56 km/h),Blackpool Pleasure Beach,Removed,Blackpool Pleasure Beach,132,1958,53.7913,-3.0561,Wood,1958-01-01,35.0,,0,1.8
Wooden Roller Coaster (Playland),"2,840 ft (870 m)",80 km/h (50 mph),Playland,Not Currently Operating,,122,1958,49.2824,-123.0352,Wood,1958-01-01,49.7,,0,
Matterhorn Bobsleds,"2,037 ft (620.9 m)",27 mph (43.5 km/h),Other,Operating,Arrow Development,107,1959,,,Steel,1959-06-14,27.0,,0,
Tornado (Wedgewood Village Amusement Park),,,"63rd and N.W. Expressway, Oklahoma City, Oklahoma, U.S.",Closed,,0,1961,,,Other,,,,0,
Blue Streak (Cedar Point),"2,558 ft (780 m)",40 mph (64 km/h),Cedar Point,Operating,Philadelphia Toboggan Coasters,122,1964,41.4799,-82.6826,Wood,1964-05-23,40.0,,0,
Jetstream (roller coaster),,,Riverview Park,Removed,Philadelphia Toboggan Coasters,0,1964,41.9418,-87.6907,Wood,1964-01-01,,,0,
Montaña Rusa (La Feria Chapultepec Mágico),"4,000 ft (1,200 m)",,La Feria Chapultepec Mágico,Removed,National Amusement Devices,0,1964,19.4164,-99.1956,Wood,1964-10-22,,,0,
Giant Coaster (Fuji-Q Highland),"1,432 m (4,698 ft)",80 km/h (50 mph),Fuji-Q Highland,Removed,Sansei Technologies,0,1966,35.487,138.78,Steel,1966-01-01,49.7,131.2,0,
Runaway Mine Train (Six Flags Over Texas),"2,400 ft (730 m)",35[1] mph (56 km/h),Six Flags Over Texas,Operating,Arrow Development,107,1966,32.7585,-97.0685,Steel,1966-07-23,35.0,,0,
Swamp Fox (roller coaster),"2,400 ft (730 m)",50 mph (80 km/h),Family Kingdom Amusement Park,Operating,Philadelphia Toboggan Coasters,122,1966,33.6825,-78.8917,Wood,1966-01-01,50.0,,0,
Cannon Ball (roller coaster),"2,272 ft (693 m)",50 mph (80 km/h),Lake Winnepesaukah,Operating,Philadelphia Toboggan Coasters,122,1967,,,Wood,1967-01-01,50.0,,0,
Dahlonega Mine Train,"2,327 ft (709 m)",29 mph (47 km/h),Six Flags Over Georgia,Operating,Arrow Dynamics,107,1967,33.7676,-84.5519,Steel,1967-06-16,29.0,,0,
Alpine Sleigh Ride,,,Other,Removed,,0,1968,,,Other,1968-06-01,,,0,
Thunderbolt (Kennywood),"3,250 ft (990 m)",55 mph (89 km/h),Kennywood,Operating,,132,1968,40.3889,-79.865,Wood,1968-01-01,55.0,,0,
Cedar Creek Mine Ride,"2,540 ft (770 m)",42 mph (68 km/h),Cedar Point,Operating,Arrow Development,122,1969,41.4847,-82.6904,Steel,1969-05-24,42.0,,0,
Mini Mine Train (Six Flags Over Texas),,,"Arlington, Texas, U.S.",Operating,,0,1969,32.7557,-97.0702,Other,,,,0,
Serpent (roller coaster),810 ft (250 m),14 mph (23 km/h),Six Flags AstroWorld,Removed,Arrow Dynamics,0,1969,29.676,-95.407,Steel,1969-01-01,14.0,,0,
Daidarasaurus,"2,340 m (7,680 ft)",72 km/h (45 mph),Expoland,Removed,Sansei Technologies,0,1970,34.8044,135.5359,Steel,1970-01-01,44.7,91.9,0,
Galaxi,,,Other,In Production,,0,1970,,,Other,,,,0,
Jet Star (Casino Pier),"1,765.1 ft (538.0 m)",31.1 mph (50.1 km/h),Casino Pier,Removed,Anton Schwarzkopf,0,1970,39.9426,-74.0692,Steel,1970-01-01,31.1,,0,
Wildcat (Jolly Roger Amusement Park),,,Other,,Anton Schwarzkopf,0,1970,,,Steel,,,,0,
Gold Rusher,"2,590 ft (790 m)",35 mph (56 km/h),Six Flags Magic Mountain,Operating,Arrow Development,122,1971,34.424,-118.5985,Steel,1971-05-29,35.0,,0,3.4
Magic Flyer (roller coaster),350 ft (110 m),10 mph (16 km/h),Other,,Bradley and Kaye,0,1971,,,Steel,,10.0,,0,2.1
River King Mine Train,"2,500 ft (760 m)",37 mph (60 km/h),Six Flags St. Louis,Operating,Arrow Dynamics,107,1971,38.5155,-90.6738,Steel,1971-06-05,37.0,,0,
Excalibur (Six Flags AstroWorld),"2,637 ft (804 m)",46 mph (74 km/h),Six Flags AstroWorld,Removed,Arrow Dynamics,0,1972,29.675,-95.407,Steel,1972-01-01,46.0,,0,
Fire in the Hole (Silver Dollar City),"1,380 ft (420 m)",27 mph (43 km/h),Silver Dollar City,Operating,Herschend Family Entertainment,0,1972,36.6703,-93.3407,Steel,1972-01-01,27.0,,0,
Jumbo Jet (Cedar Point),,,Other,,Anton Schwarzkopf,0,1972,,,Steel,,,,0,
The Racer (Kings Island),"3,415 ft (1,040.9 m)",53 mph (85.3 km/h),Other,Operating,Philadelphia Toboggan Coasters,122,1972,39.3437,-84.2647,Wood,1972-04-29,53.0,,0,
Rock n' Roller Coaster (Opryland),"2,000 ft (610 m)",45 mph (72 km/h),Other,,Arrow Development,107,1972,,,Steel,,45.0,,0,
Scooby-Doo (Kings Island),"1,350 ft (410 m)",35 mph (56 km/h),Kings Island,Operating,Philadelphia Toboggan Coasters,102,1972,39.3432,-84.2693,Wood,1972-01-01,35.0,,0,
Toboggan (Hersheypark),450 ft (140 m),,Hersheypark,Removed,Chance Rides,0,1972,40.2866,-76.6561,Steel,1972-01-01,,,0,
Carolina Goldrusher,"2,397 ft (731 m)",30 mph (48 km/h),Carowinds,Operating,Arrow Dynamics,122,1973,,,Steel,1973-03-31,30.0,,0,2.4
Great American Scream Machine (Six Flags Over Georgia),"3,800 ft (1,200 m)",57 mph (92 km/h),Six Flags Over Georgia,Operating,Philadelphia Toboggan Coasters,107,1973,33.7658,-84.5514,Wood,1973-03-31,57.0,,0,3.7
Schussboomer,"1,509.2 ft (460.0 m)",,Worlds of Fun,Removed,Anton Schwarzkopf,0,1973,39.1773,-94.489,Steel,1973-05-26,,,0,
Big Fury,,,Six Flags Great Adventure,Removed,Pinfari,0,1974,40.138,-74.441,Steel,1974-01-01,,,0,
Mini-Comet,,,Hersheypark,Removed,B.A. Schiff & Associates,0,1974,40.288,-76.657,Steel,1974-05-10,,15.0,0,
Runaway Mine Train (Six Flags Great Adventure),,,"Jackson, New Jersey, United States",Operating,,0,1974,40.1377,-74.4405,Other,,,,0,
Scooby-Doo (Kings Dominion),"1,385 ft (422 m)",35 mph (56 km/h),Kings Dominion,Operating,Philadelphia Toboggan Coasters,102,1974,37.8405,-77.4422,Wood,1974-01-01,35.0,,0,
Trailblazer (roller coaster),"1,600 ft (490 m)",35 mph (56 km/h),Hersheypark,Operating,Arrow Development,0,1974,40.2892,-76.6535,Steel,1974-05-14,35.0,,0,
Corkscrew (Knott's Berry Farm),"1,250 ft (380 m)",46 mph (74 km/h),Other,,Arrow Development,122,1975,,,Steel,,46.0,,2,
Glissade (roller coaster),,,Busch Gardens Williamsburg,Removed,Anton Schwarzkopf,0,1975,37.235,-76.644,Steel,1975-01-01,,,0,
Racer 75,"3,368.5 ft (1,026.7 m)",56 mph (90.1 km/h),Other,Operating,Philadelphia Toboggan Coasters,122,1975,37.8371,-77.4449,Wood,1975-05-03,56.0,,0,4.2
Rockin' Roller,,,Six Flags St. Louis,Removed,Bradley and Kaye,0,1975,38.5128,-90.675,Steel,1975-01-01,,,0,
Scooby-Doo (Carowinds),"1,356 ft (413 m)",36 mph (58 km/h),Carowinds,Operating,Philadelphia Toboggan Coasters,102,1975,35.101,-80.9394,Wood,1975-01-01,36.0,,0,
Space Mountain (Magic Kingdom),"3,196 ft (974.1 m)",27 mph (43.5 km/h),Other,Operating,Arrow Development,112,1975,28.4192,-81.5772,Steel,1975-01-15,27.0,,0,3.7
Wabash Cannonball (roller coaster),"1,250 ft (380 m)",50 mph (80 km/h),Opryland USA,Removed,Arrow Development,122,1975,36.2089,-86.6984,Steel,1975-01-01,50.0,,2,
Alpen Blitz,"1,800 ft (550 m)",10 mph (16 km/h),Six Flags Great Adventure,Removed,Anton Schwarzkopf,112,1976,40.1371,-74.4411,Steel,1976-01-01,10.0,,0,1.0
Corkscrew (Cedar Point),"2,050 ft (620 m)",48 mph (77 km/h),Cedar Point,Operating,Arrow Development,122,1976,41.4836,-82.6853,Steel,1976-05-15,48.0,,3,
Demon (roller coaster),"2,130 ft (650 m)",50 mph (80 km/h),Other,,Arrow Dynamics,107,1976,,,Steel,,50.0,,4,
Extremeroller,"1,250 ft (380 m)",50 mph (80 km/h),Worlds of Fun,Removed,Arrow Dynamics,0,1976,39.1728,-94.4892,Steel,1976-01-01,50.0,,2,
Gulf Coaster,,,Other,,Allan Herschell Company,0,1976,,,Steel,,,,0,
High Roller (Valleyfair),"2,982 ft (909 m)",50 mph (80 km/h),Valleyfair,Operating,Rauenhorst Corporation,122,1976,44.8006,-93.4578,Wood,1976-01-01,50.0,,0,3.2
Jet Star 2 (Lagoon),"1,913.3 ft (583.2 m)",,Lagoon Amusement Park,Operating,Anton Schwarzkopf,127,1976,40.9869,-111.8936,Steel,1976-01-01,,,0,
Jumbo Jet (Morey's Piers),"2,854 ft (870 m)",50 mph (80 km/h),Morey's Piers,Removed,Anton Schwarzkopf,0,1976,38.986,-74.809,Steel,1976-01-01,50.0,,0,
Lil' Thunder,199 ft (61 m),5 mph (8.0 km/h),Six Flags Great Adventure,Removed,Molina & Sons,0,1976,40.138,-74.44,Steel,1976-01-01,5.0,,0,
Mild Thing,,,Valleyfair,Removed,Allan Herschell Company,0,1976,44.7996,-93.4575,Steel,1976-01-01,,,0,
Python (Busch Gardens Tampa Bay),"1,200 ft (370 m)",40 mph (64 km/h),Busch Gardens Tampa Bay,Removed,Arrow Development,107,1976,28.039,-82.4251,Steel,1976-07-01,40.0,,2,
The New Revolution (roller coaster),"3,457 ft (1,054 m)",55 mph (89 km/h),Six Flags Magic Mountain,Operating,Anton Schwarzkopf,122,1976,34.4228,-118.5964,Steel,1976-05-08,55.0,,1,4.9
Screamin' Eagle,"3,872 ft (1,180 m)",62 mph (100 km/h),Six Flags St. Louis,Operating,Philadelphia Toboggan Coasters,107,1976,38.5164,-90.6761,Wood,1976-04-10,62.0,,0,
Texas Cyclone,"3,180 ft (970 m)",,Six Flags AstroWorld,Removed,Frontier Construction Company,122,1976,29.6767,-95.4097,Wood,1976-06-12,,,0,
Thunder Road (roller coaster),"3,819 ft (1,164.0 m)",58 mph (93.3 km/h),Other,Removed,Philadelphia Toboggan Coasters,122,1976,35.1004,-80.9426,Wood,1976-04-03,58.0,,0,3.4
Whizzer (roller coaster),"3,100 ft (940 m)",42 mph (68 km/h),Other,,Anton Schwarzkopf,0,1976,,,Other,,42.0,,0,3.0
Double Loop (Geauga Lake),"1,800 ft (550 m)",36 mph (58 km/h),Geauga Lake,Removed,Arrow Dynamics,122,1977,41.3528,-81.3774,Steel,1977-01-01,36.0,,2,
Screamin' Demon,635 ft (194 m),45 mph (72 km/h),Other,,Arrow Dynamics,0,1977,,,Steel,,45.0,,1,4.0
Shuttle Loop,,,Other,Discontinued,Anton Schwarzkopf,0,1977,,,Other,,,,2,
SooperDooperLooper,"2,614 ft (797 m)",45 mph (72 km/h),Hersheypark,Operating,Anton Schwarzkopf,107,1977,40.2864,-76.6536,Steel,1977-07-04,45.0,,1,
Space Mountain (Disneyland),"3,459 ft (1,054 m)",35[2] mph (56 km/h),Disneyland,Operating,Arrow Development (1977–2003)Dynamic Structures (2005–present)]],102,1977,33.811,-117.9174,Steel,1977-05-27,35.0,,0,
Steeplechase (Blackpool Pleasure Beach),,,Blackpool Pleasure Beach,Operating,Arrow Dynamics,127,1977,53.7888,-3.0558,Steel,1977-01-01,,,0,
Arkansas Twister,"3,340 ft (1,020 m)",50 mph (80 km/h),Magic Springs and Crystal Falls,Operating,Michael Black and Associates,122,1978,34.5213,-93.0143,Wood,1978-01-01,50.0,,0,
Colossus (Six Flags Magic Mountain),"4,990 ft (1,520 m)",57 mph (92 km/h),Six Flags Magic Mountain,Operating,Rocky Mountain Construction,122,1978,34.4278,-118.5975,Steel,2015-05-23,57.0,,2,
Gemini (roller coaster),"3,935 ft (1,199.4 m)",60 mph (96.6 km/h),Other,Operating,Arrow Dynamics,122,1978,41.4863,-82.6897,Steel,1978-06-17,60.0,,0,
Greezed Lightnin' (Six Flags Astroworld),,,Other,Discontinued,Anton Schwarzkopf,0,1978,,,Other,,,,2,
Lightnin' Loops,635 ft (194 m),45 mph (72 km/h),Other,,Arrow Development,112,1978,40.1358,-74.4437,Steel,,45.0,,1,4.0
Loch Ness Monster (roller coaster),"3,240 ft (990 m)",60 mph (97 km/h),Busch Gardens Williamsburg,Operating,Arrow Development,122,1978,37.2343,-76.646,Steel,1978-06-06,60.0,,2,3.5
Montezooma's Revenge,800 ft (240 m),55 mph (89 km/h),Knott's Berry Farm,Operating,Anton Schwarzkopf,122,1978,33.8456,-117.999,Steel,1978-05-21,55.0,,2,
Schweizer Bobbahn,"3,248 ft (990 m)",32.9 mph (52.9 km/h),Heide Park,Operating,Mack Rides,0,1978,,,Steel,1978-08-19,32.9,,0,
Shock Wave (Six Flags Over Texas),"3,600 ft (1,100 m)",60 mph (97 km/h),Six Flags Over Texas,Operating,Anton Schwarzkopf,107,1978,32.7589,-97.0706,Steel,1978-04-22,60.0,,2,5.9
The Riddler Mindbender,"3,253 ft (992 m)",50 mph (80 km/h),Six Flags Over Georgia,Operating,Anton Schwarzkopf,107,1978,33.7703,-84.5475,Steel,1978-03-31,50.0,,2,
Tornado (Adventureland),"2,850 ft (870 m)",58 mph (93 km/h),Adventureland (Iowa),Operating,Frontier Construction Company,107,1978,41.6515,-93.5025,Wood,1978-07-04,58.0,,0,
Wild Rider,,,Six Flags Great Adventure,Removed,Anton Schwarzkopf,0,1978,40.1363,-74.4416,Steel,1978-01-01,,,0,
The Beast (roller coaster),"7,359 ft (2,243 m)",64.78 mph (104.25 km/h),Kings Island,Operating,Kings Island,122,1979,39.3402,-84.266,Wood,1979-04-14,64.8,,0,3.6
Big Thunder Mountain Railroad,,35 mph (56 km/h),Other,,"Arrow Development (California and Florida)Dynamic Structures (2014 California rebuild)Vekoma (Paris, Tokyo)",102,1979,,,Steel,,35.0,,0,
Big Thunder Mountain Railroad (Disneyland),,35 mph (56 km/h),Other,,"Arrow Development (California and Florida)Dynamic Structures (2014 California rebuild)Vekoma (Paris, Tokyo)",102,1979,,,Steel,,35.0,,0,
Corkscrew (Michigan's Adventure),,,"Muskegon, Michigan, United States",Operating,,0,1979,43.3474,-86.2789,Other,,,,0,
Momonga Standing and Loop Coaster,"1,380 ft (420 m)",46.6 mph (75.0 km/h),Yomiuriland,Removed,TOGO,0,1979,35.6245,139.5193,Steel,1979-01-01,46.6,,1,
Revolution (Blackpool Pleasure Beach),635 ft (194 m),45 mph (72 km/h),Blackpool Pleasure Beach,Operating,Arrow Development,127,1979,53.7899,-3.0551,Steel,1979-01-01,45.0,,2,4.0
Rolling Thunder (roller coaster),"3,200 ft (975.4 m)",56 mph (90.1 km/h),Other,Removed,William Cobb & Associates,112,1979,40.1394,-74.4343,Wood,1979-01-01,56.0,,0,
WildCat (Cedar Point),"1,837 ft (560 m)",40 mph (64 km/h),Cedar Point,Removed,Anton Schwarzkopf,122,1979,41.4817,-82.685,Steel,1979-01-01,40.0,,0,
Wilderness Run,443 ft (135 m),6 mph (9.7 km/h),Cedar Point,Operating,Intamin,0,1979,41.4856,-82.6886,Steel,1979-01-01,6.0,,0,
Carolina Cyclone,"2,100 ft (640 m)",41 mph (66 km/h),Carowinds,Operating,Arrow Dynamics,122,1980,35.1042,-80.9436,Steel,1980-03-22,41.0,,4,3.5
